ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Days_Since_Customer,Education_Rank,Income_Z
10164,1958,Bachelors,Single,94472,0,1,3/4/2014,75,1017,33,417,108,100,16,1,5,5,5,5,0,1,1,0,0,0,0,63,2774,2,1.9747129030863395
5386,1953,Bachelors,Together,94384,0,0,4/3/2013,62,1111,24,790,160,45,172,0,5,8,5,2,0,1,1,1,0,0,1,68,3109,2,1.9706257579146713
6024,1953,Bachelors,Together,94384,0,0,4/3/2013,62,1111,24,790,160,45,172,0,5,8,5,2,0,1,1,1,0,0,1,68,3109,2,1.9706257579146713
10133,1970,Bachelors,Single,93790,0,0,12/2/2014,16,1302,68,731,89,114,45,0,6,7,12,2,0,1,1,1,0,0,1,51,2501,2,1.9430375280059116
9499,1954,Bachelors,Married,93404,1,2,7/5/2013,97,1279,15,287,20,0,15,3,3,4,7,5,0,1,1,0,0,0,0,67,3016,2,1.9251098230483674
6932,1941,PhD,Married,93027,0,0,4/13/2013,77,1285,42,716,55,0,21,0,7,10,5,2,0,0,1,0,0,0,0,80,3099,4,1.9076001215742893
10489,1973,Bachelors,Married,92955,0,0,8/19/2013,35,693,21,925,31,24,84,1,6,7,9,2,0,0,1,1,0,0,1,48,2971,2,1.904256093706561
1340,1986,Bachelors,Married,92910,0,0,4/24/2014,42,551,137,792,179,103,33,1,6,7,13,1,0,1,1,1,0,0,0,35,2723,2,1.9021660762892305
821,1992,Master,Single,92859,0,0,10/19/2012,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,29,3275,3,1.8997973898829228
5832,1960,Master,Together,92556,0,0,4/20/2014,32,493,183,352,184,23,28,0,3,5,13,0,0,0,0,0,0,0,0,61,2727,3,1.8857246059395656
9349,1985,Bachelors,Married,92533,0,0,12/19/2013,84,693,21,118,110,147,42,1,6,5,11,2,0,0,1,1,0,0,0,36,2849,2,1.8846563748151524
1172,1983,PhD,Married,92491,0,0,1/5/2013,71,979,44,935,29,25,22,1,7,5,12,3,0,1,1,1,0,0,1,38,3197,4,1.8827056918923109
10909,1948,Bachelors,Married,92344,0,0,1/15/2014,9,992,24,694,51,19,119,0,5,10,5,1,1,0,1,0,0,0,0,73,2822,2,1.8758783016623652
7627,1975,Master,Married,92163,0,0,12/12/2012,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,1,46,3221,3,1.8674717871615478
6303,1986,PhD,Together,91820,0,0,11/23/2013,72,410,73,747,76,161,30,0,5,5,12,1,0,0,0,0,0,0,0,35,2875,4,1.8515412099583415
6248,1947,Master,Single,91712,0,0,10/17/2013,47,1276,24,746,94,29,48,0,9,7,11,3,0,0,1,0,0,0,1,74,2912,3,1.8465251681567487
9220,1971,Bachelors,Single,91700,0,0,1/17/2013,58,576,172,961,125,115,19,1,8,6,5,3,0,0,0,0,0,0,1,50,3185,2,1.845967830178794
3138,1956,Bachelors,Single,91249,0,0,10/20/2012,84,1324,27,119,71,108,27,0,7,9,6,4,0,1,1,1,1,0,1,65,3274,2,1.825021211173995
3520,1990,Master,Single,91172,0,0,3/27/2013,94,162,28,818,0,28,56,0,4,3,7,3,1,0,1,1,1,0,1,31,3116,3,1.8214449591487853
4216,1981,Bachelors,Single,91065,0,0,2/22/2013,33,822,114,108,179,137,114,1,7,9,9,3,0,0,1,1,0,0,1,40,3149,2,1.8164753621786889
5558,1954,PhD,Single,90933,0,0,3/31/2014,90,1020,31,430,62,63,79,1,4,6,4,1,0,0,1,0,0,0,0,67,2747,4,1.8103446444211868
5147,1948,Bachelors,Single,90842,0,0,7/29/2013,57,774,70,118,182,187,93,1,4,9,13,1,0,0,0,0,0,0,0,73,2992,2,1.80611816475503
1592,1970,Bachelors,Married,90765,0,0,1/24/2014,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,51,2813,2,1.8025419127298203
3979,1983,PhD,Divorced,90687,0,0,5/22/2013,98,982,17,672,23,34,51,1,6,2,8,2,0,0,1,0,0,0,1,38,3060,4,1.7989192158731144
5350,1991,Master,Single,90638,0,0,2/13/2014,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,0,1,30,2793,3,1.7966434191297993
5735,1991,Master,Single,90638,0,0,2/13/2014,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,0,0,30,2793,3,1.7966434191297993
1619,1956,Bachelors,Married,90369,0,0,4/28/2014,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,0,1,65,2719,2,1.784149759457314
8318,1979,Bachelors,Together,90300,0,0,3/1/2014,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,0,42,2777,2,1.780945066084074
569,1991,Bachelors,Single,90273,0,0,12/14/2013,32,704,129,853,120,74,111,1,5,6,7,2,0,1,1,1,0,0,1,30,2854,2,1.7796910556336758
8029,1988,Master,Single,90247,0,0,4/29/2014,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0,1,33,2718,3,1.778483490014774
5453,1956,Master,Married,90226,0,0,9/26/2012,26,1083,108,649,253,151,108,1,4,7,12,2,0,0,0,1,0,0,0,65,3298,3,1.777508148553353
10394,1984,Bachelors,Married,90000,0,0,12/23/2013,91,675,144,133,94,192,241,1,4,8,5,1,1,0,1,1,0,0,0,37,2845,2,1.7670116166352055
11101,1991,Bachelors,Together,89891,0,0,4/15/2013,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,0,30,3097,2,1.7619491300021166
10430,1973,Bachelors,Divorced,89694,1,1,9/10/2013,22,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,0,48,2949,2,1.7527994981973596
4418,1983,Master,Single,89616,0,0,2/25/2013,36,671,47,655,145,111,15,1,7,5,12,2,0,0,0,0,0,0,1,38,3146,3,1.7491768013406537
4947,1966,Master,Single,89572,0,0,9/15/2012,44,606,24,974,197,194,64,1,7,7,9,4,0,1,0,1,0,0,1,55,3309,3,1.7471332287548196
6036,1959,Master,Together,89120,0,0,3/17/2014,78,1168,92,408,72,129,55,1,5,6,7,1,0,0,1,0,0,0,0,62,2761,3,1.7261401649185244
10991,1960,Master,Married,89058,0,0,7/12/2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,61,3374,3,1.723260585365758
3010,1989,Master,Together,88420,0,0,2/5/2014,87,957,153,612,99,95,153,1,4,7,8,1,1,0,1,1,0,0,0,32,2801,3,1.6936287828711645
6421,1961,Bachelors,Together,88347,0,0,3/7/2013,32,1050,178,555,77,138,118,1,4,7,9,1,0,0,0,1,0,0,0,60,3136,2,1.6902383101719396
10469,1981,Bachelors,Together,88325,0,0,5/2/2014,42,519,71,860,93,27,53,1,6,2,9,2,0,0,0,0,0,0,0,40,2715,2,1.6892165238790227
9369,1979,Master,Single,88194,0,1,3/19/2014,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,42,2759,3,1.6831322509530167
2535,1978,Master,Married,88097,1,0,8/18/2012,24,163,0,480,0,126,75,1,6,5,8,9,0,1,1,1,0,0,1,43,3337,3,1.6786271022978825
3174,1959,Bachelors,Together,87771,0,1,5/22/2013,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,1,62,3060,2,1.663486087230112
5536,1959,Bachelors,Together,87771,0,1,5/22/2013,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,1,62,3060,2,1.663486087230112
1763,1988,Bachelors,Together,87679,0,0,7/27/2013,62,1259,172,815,97,148,33,1,7,11,10,4,1,0,1,1,0,0,1,33,2994,2,1.6592131627324591
3619,1960,Master,Divorced,87305,0,0,9/23/2012,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,0,1,61,3301,3,1.6418427957528696
8908,1959,Bachelors,Married,87195,0,0,8/5/2014,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,62,2620,2,1.6367338642882845
4278,1983,PhD,Single,87188,0,0,3/6/2013,73,910,111,724,49,74,55,1,10,2,6,3,0,0,0,0,0,0,1,38,3137,4,1.6364087504678109
4207,1981,PhD,Married,87171,0,0,1/5/2013,27,1001,44,107,58,44,44,1,6,7,11,2,1,0,1,0,0,0,0,40,3197,4,1.635619188332375
2802,1992,Master,Married,87000,0,0,12/15/2012,61,196,25,607,67,17,49,1,4,6,7,2,0,0,0,0,0,0,0,29,3218,3,1.6276771221465198
5113,1971,PhD,Divorced,86979,0,0,7/11/2013,67,584,100,835,65,83,35,1,5,5,5,2,1,0,0,0,0,0,1,50,3010,4,1.626701780685099
5830,1972,PhD,Single,86857,0,0,12/9/2012,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,49,3224,4,1.6210355112425592
9826,1972,PhD,Single,86857,0,0,12/9/2012,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,49,3224,4,1.6210355112425592
7872,1975,PhD,Married,86836,0,0,12/9/2012,7,179,21,273,0,21,63,1,6,10,6,5,1,0,1,1,0,0,1,46,3224,4,1.6200601697811383
6422,1954,Bachelors,Married,86718,0,0,1/17/2013,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,67,3185,2,1.6145796796645833
1964,1951,Bachelors,Together,86610,0,0,5/9/2013,66,446,107,768,33,196,53,1,5,6,6,2,0,0,0,0,0,0,0,70,3073,2,1.6095636378629907
10742,1983,PhD,Married,86580,0,0,2/27/2013,72,532,21,127,26,20,20,0,4,2,5,1,0,0,1,0,0,0,0,38,3144,4,1.6081702929181039
10150,1961,Bachelors,Single,86429,0,0,11/21/2013,10,464,28,873,29,18,37,0,7,4,7,2,0,0,0,1,0,0,1,60,2877,2,1.6011571233621733
1446,1956,Master,Single,86424,0,0,5/4/2014,12,387,68,569,89,45,68,1,6,9,12,1,0,0,0,0,0,0,0,65,2713,3,1.6009248992046923
6749,1966,Bachelors,Single,86358,1,1,8/8/2012,78,957,47,494,82,47,95,4,5,3,6,8,0,0,0,0,0,0,0,55,3347,2,1.597859540325941
8690,1962,Bachelors,Married,86111,0,0,4/19/2013,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,59,3093,2,1.5863876669463726
999,1991,Bachelors,Single,86037,0,0,2/1/2013,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,30,3170,2,1.5829507494156518
1127,1973,PhD,Married,85844,0,0,5/29/2014,62,938,19,843,25,95,38,1,6,6,7,2,0,0,1,0,0,0,0,48,2688,4,1.5739868969368795
4331,1978,Master,Together,85738,0,0,1/23/2014,41,913,26,376,17,26,13,1,3,6,11,1,0,1,1,0,0,0,0,43,2814,3,1.5690637447982794
1031,1989,Master,Married,85710,0,0,5/5/2013,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,32,3077,3,1.567763289516385
1745,1962,PhD,Divorced,85696,0,0,3/5/2013,88,714,76,395,116,0,12,1,4,6,9,1,0,0,0,0,0,0,1,59,3138,4,1.5671130618754379
8015,1962,PhD,Divorced,85696,0,0,3/5/2013,88,714,76,395,116,0,12,1,4,6,9,1,0,0,0,0,0,0,1,59,3138,4,1.5671130618754379
4518,1979,Bachelors,Together,85693,0,1,4/20/2013,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,42,3092,2,1.5669737273809492
8545,1954,Bachelors,Divorced,85683,0,0,3/21/2014,6,1296,17,311,45,69,51,1,2,4,10,1,0,1,1,1,1,0,1,67,2757,2,1.566509279065987
10955,1964,Bachelors,Widow,85620,0,0,7/1/2014,68,416,46,925,60,107,46,1,3,6,4,1,0,0,0,0,0,0,1,57,2655,2,1.5635832546817245
2975,1976,Bachelors,Together,85606,0,1,12/11/2012,89,717,42,864,219,30,84,2,6,7,9,3,0,0,0,1,0,0,0,45,3222,2,1.5629330270407773
9400,1958,Master,Single,85485,0,0,6/21/2014,73,630,26,611,44,18,54,1,6,6,6,2,0,0,0,0,0,0,0,63,2665,3,1.5573132024297336
8584,1952,PhD,Together,85431,0,0,8/6/2013,54,376,53,462,168,53,53,1,2,7,7,0,0,0,0,0,0,0,0,69,2984,4,1.5548051815289372
11074,1977,Bachelors,Single,85072,0,0,9/4/2014,94,494,92,391,194,11,241,1,3,4,10,0,0,0,0,0,0,0,0,44,2590,2,1.5381314870217913
6906,1953,Master,Widow,84953,0,0,3/6/2013,73,167,48,602,63,72,72,1,3,10,4,2,0,1,1,1,0,0,1,68,3137,3,1.53260455207374
2088,1972,Bachelors,Together,84906,0,0,4/10/2013,98,997,15,414,99,30,76,1,5,6,12,2,0,1,1,0,1,0,0,49,3102,2,1.5304216449934172
9757,1972,Bachelors,Together,84906,0,0,4/10/2013,98,997,15,414,99,30,76,1,5,6,12,2,0,1,1,0,1,0,0,49,3102,2,1.5304216449934172
3725,1961,PhD,Single,84865,0,0,9/5/2013,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,0,1,60,2954,4,1.528517406902072
1826,1970,Bachelors,Divorced,84835,0,0,6/16/2014,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,0,1,51,2670,2,1.527124061957185
1966,1965,PhD,Married,84618,0,0,11/22/2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,56,2876,4,1.5170455335225035
7789,1965,PhD,Married,84618,0,0,11/22/2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,56,2876,4,1.5170455335225035
6945,1952,Bachelors,Single,84574,0,0,4/6/2013,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,69,3106,2,1.5150019609366694
1509,1958,PhD,Together,84460,0,0,4/1/2013,80,152,27,103,106,54,81,0,9,9,4,5,0,1,1,1,1,0,1,63,3111,4,1.5097072501460993
486,1988,Bachelors,Married,84219,0,0,2/2/2014,27,434,137,400,45,137,45,1,3,4,10,1,0,0,0,0,0,0,0,33,2804,2,1.4985140457555082
10981,1988,Bachelors,Married,84219,0,0,2/2/2014,27,434,137,400,45,137,45,1,3,4,10,1,0,0,0,0,0,0,0,33,2804,2,1.4985140457555082
10156,1975,Bachelors,Single,84196,0,1,3/6/2013,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,46,3137,2,1.497445814631095
5547,1982,PhD,Married,84169,0,0,7/8/2013,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,1,39,3013,4,1.4961918041806967
8362,1982,PhD,Married,84169,0,0,7/8/2013,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,1,39,3013,4,1.4961918041806967
5721,1956,PhD,Married,84117,0,0,11/5/2014,60,611,76,749,59,45,26,1,7,10,6,2,0,0,1,0,0,0,0,65,2528,4,1.493776672942893
8923,1973,Bachelors,Single,83917,0,0,4/18/2013,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,48,3094,2,1.4844877066436473
2495,1974,Master,Married,83891,0,1,6/20/2014,24,217,38,350,111,85,15,1,4,7,10,1,0,0,0,0,0,0,0,47,2666,3,1.4832801410247454
241,1952,Bachelors,Together,83844,0,0,12/5/2013,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,0,69,2863,2,1.4810972339444226
3560,1952,Bachelors,Together,83844,0,0,12/5/2013,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,0,69,2863,2,1.4810972339444226
7521,1952,Bachelors,Together,83844,0,0,12/5/2013,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,0,69,2863,2,1.4810972339444226
10314,1948,PhD,Married,83837,0,0,12/16/2012,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,73,3217,4,1.480772120123949
3910,1975,Bachelors,Divorced,83829,0,0,8/10/2013,78,897,161,430,186,161,27,0,4,7,6,1,1,0,1,1,0,0,1,46,2980,2,1.480400561471979
5538,1975,Bachelors,Divorced,83829,0,0,8/10/2013,78,897,161,430,186,161,27,0,4,7,6,1,1,0,1,1,0,0,1,46,2980,2,1.480400561471979
6274,1948,Master,Married,83790,0,0,11/15/2013,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,0,73,2883,3,1.4785892130436262
10286,1962,Bachelors,Married,83715,0,0,3/2/2014,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,59,2776,2,1.475105850681409
9799,1968,PhD,Divorced,83664,1,1,8/5/2013,57,866,21,151,28,21,86,3,2,2,12,5,0,0,0,0,0,0,0,53,2985,4,1.4727371642751015
1150,1899,PhD,Together,83532,0,0,9/26/2013,36,755,144,562,104,64,224,1,4,6,4,1,0,0,1,0,0,0,0,122,2933,4,1.4666064465175992
3005,1992,Bachelors,Single,83528,0,0,1/5/2014,7,530,117,678,134,44,147,1,4,10,8,1,1,0,0,1,0,0,1,29,2832,2,1.4664206671916142
477,1986,Bachelors,Married,83512,0,0,6/17/2014,31,1060,61,835,80,20,101,1,4,7,10,1,1,0,1,1,1,0,1,35,2669,2,1.4656775498876746
6974,1972,PhD,Together,83443,0,0,12/31/2013,89,518,42,742,55,56,84,1,6,10,5,2,0,0,0,0,0,0,0,49,2837,4,1.462472856514435
4974,1970,Bachelors,Single,83273,1,2,9/25/2012,98,433,89,650,16,102,102,10,4,6,9,7,0,0,0,0,0,0,0,51,3299,2,1.454577235160076
4427,1995,Master,Single,83257,0,0,9/18/2012,56,536,27,590,38,107,67,1,5,10,12,6,1,0,1,0,0,1,1,26,3306,3,1.4538341178561365
9286,1960,Master,Together,83151,0,0,10/10/2012,93,407,28,100,120,74,18,1,5,9,4,3,0,0,0,0,0,0,0,61,3284,3,1.448910965717536
9010,1972,Master,Married,83151,0,0,10/2/2013,80,968,147,842,137,42,210,1,5,7,10,2,1,0,1,1,0,0,1,49,2927,3,1.448910965717536
5031,1974,Bachelors,Together,83145,0,0,9/22/2012,14,777,35,731,39,137,114,1,5,9,11,2,0,0,1,0,0,0,1,47,3302,2,1.4486322967285588
8931,1986,Bachelors,Together,83033,1,0,5/18/2014,82,812,99,431,237,149,33,1,11,4,10,5,0,0,0,1,0,0,0,35,2699,2,1.4434304756009813
9560,1965,Bachelors,Together,83003,0,0,3/3/2013,18,856,61,570,40,25,122,1,7,6,8,3,0,0,1,0,0,0,1,56,3140,2,1.4420371306560944
2114,1946,PhD,Single,82800,0,0,11/24/2012,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,75,3239,4,1.4326088298623598
4261,1946,PhD,Single,82800,0,0,11/24/2012,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,75,3239,4,1.4326088298623598
10163,1984,PhD,Single,82733,0,0,10/9/2013,28,712,50,420,65,38,38,1,8,4,7,4,0,0,0,0,0,0,1,37,2920,4,1.4294970261521127
9930,1944,PhD,Single,82716,0,0,5/11/2013,8,606,148,228,15,148,22,1,6,8,13,2,0,0,0,0,0,0,0,77,3071,4,1.4287074640166768
1553,1946,Bachelors,Together,82657,0,0,9/27/2013,71,966,168,672,246,105,126,1,7,5,10,4,0,1,0,1,0,0,0,75,2932,2,1.4259672189583992
1411,1952,Bachelors,Divorced,82623,0,0,10/11/2013,58,204,34,204,172,153,173,1,2,9,4,1,0,0,0,0,0,0,0,69,2918,2,1.4243880946875276
1361,1974,Master,Married,82584,0,0,4/6/2013,26,1076,68,103,29,91,68,1,3,4,8,1,0,1,1,0,0,0,1,47,3106,3,1.4225767462591745
2225,1977,Bachelors,Divorced,82582,0,0,7/6/2014,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,44,2650,2,1.4224838565961822
2611,1959,Master,Together,82576,0,0,1/8/2012,66,1206,55,445,168,18,18,1,2,4,12,1,0,0,1,0,0,0,0,62,3560,3,1.4222051876072048
4686,1962,PhD,Widow,82571,0,0,2/4/2014,28,861,31,558,62,95,79,0,6,5,13,2,0,0,1,0,0,0,0,59,2802,4,1.4219729634497236
5332,1960,Master,Married,82504,0,0,7/27/2013,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,61,2994,3,1.4188611597394762
4543,1980,Bachelors,Married,82497,0,0,10/31/2012,32,777,129,573,216,21,203,1,2,7,9,4,0,0,1,0,0,0,0,41,3263,2,1.4185360459190026
3503,1950,Bachelors,Divorced,82460,0,0,2/12/2013,78,255,47,573,52,32,15,1,5,3,6,1,0,0,0,0,0,0,0,71,3159,2,1.4168175871536421
10129,1966,Bachelors,Together,82427,0,0,12/3/2014,35,482,147,509,104,107,107,1,3,5,12,1,0,0,1,0,0,0,0,55,2500,2,1.4152849077142666
6260,1955,Master,Together,82384,0,0,11/19/2012,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,66,3244,3,1.4132877799599288
4856,1957,Master,Married,82347,0,0,6/11/2012,38,556,54,845,202,133,63,1,7,7,10,3,1,0,0,1,0,0,0,64,3405,3,1.4115693211945683
8722,1957,Master,Married,82347,0,0,6/11/2012,38,556,54,845,202,133,63,1,7,7,10,3,1,0,0,1,0,0,1,64,3405,3,1.4115693211945683
6292,1986,PhD,Married,82333,0,0,3/30/2013,60,1311,0,359,46,89,17,1,4,3,10,2,0,0,1,0,0,0,1,35,3113,4,1.410919093553621
3104,1961,Bachelors,Single,82332,0,0,9/17/2012,89,830,59,968,51,79,19,1,5,3,12,2,0,0,1,0,0,0,1,60,3307,2,1.410872648722125
2186,1977,Master,Together,82326,0,0,10/3/2014,30,938,142,754,159,81,183,1,5,10,6,2,0,1,1,1,0,0,1,44,2561,3,1.4105939797331477
5278,1964,Bachelors,Married,82224,0,0,1/25/2014,83,307,26,360,138,31,40,1,6,9,5,3,0,0,0,1,0,0,0,57,2812,2,1.4058566069205323
8164,1978,PhD,Married,82170,0,0,11/25/2013,13,1023,93,651,49,55,37,1,5,6,7,2,0,0,0,0,0,0,0,43,2873,4,1.4033485860197359
7960,1962,Master,Together,82122,0,0,8/15/2013,89,734,22,350,151,25,100,1,3,9,13,1,0,0,1,0,0,0,0,59,2975,3,1.401119234107917
4597,1970,PhD,Together,82072,0,0,2/7/2013,67,889,55,685,168,92,129,1,3,2,13,1,0,0,0,0,0,0,0,51,3164,4,1.3987969925331056
202,1948,PhD,Widow,82032,0,0,5/4/2014,54,332,194,377,149,125,57,0,4,6,7,1,0,0,0,0,0,0,0,73,2713,4,1.3969391992732565
9589,1948,PhD,Widow,82032,0,0,5/4/2014,54,332,194,377,149,125,57,0,4,6,7,1,0,0,0,0,0,0,0,73,2713,4,1.3969391992732565
6810,1983,Bachelors,Divorced,82025,0,0,5/28/2013,76,267,98,606,48,70,98,1,3,2,6,1,0,0,1,0,0,0,1,38,3054,2,1.3966140854527829
10446,1957,PhD,Married,82017,0,0,7/11/2012,58,184,23,446,30,23,23,1,5,4,7,2,0,1,1,1,0,0,1,64,3375,4,1.396242526800813
8395,1961,Bachelors,Single,82014,0,0,8/20/2012,48,980,37,265,35,163,31,1,3,6,12,6,0,0,0,0,0,0,1,60,3335,2,1.3961031923063243
5341,1962,Master,Divorced,81975,0,1,5/1/2013,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,59,3081,3,1.3942918438779714
1103,1976,Master,Married,81929,1,0,9/29/2012,60,1486,55,278,49,0,185,2,4,4,10,6,1,0,1,0,0,0,1,45,3295,3,1.3921553816291448
1650,1960,Master,Married,81843,0,0,4/22/2013,13,779,86,537,34,69,138,1,5,9,12,3,0,0,0,0,0,0,0,61,3090,3,1.3881611261204692
